Customer Number,Offer Accepted,Reward,Mailer Type,Income Level,# Bank Accounts Open,Overdraft Protection,Credit Rating,# Credit Cards Held,# Homes Owned,Household Size,Own Your Home,Average Balance,Q1 Balance,Q2 Balance,Q3 Balance,Q4 Balance
0,No,Air Miles,Letter,High,1,No,High,2,1,4,No,1160.75,1669,877,1095,1002
1,No,Air Miles,Postcard,High,2,No,Medium,2,1,2,Yes,276.5,367,352,145,242
2,No,Air Miles,Letter,Medium,2,No,High,1,1,4,No,1219,1578,1760,1119,419
3,No,Air Miles,Letter,Medium,1,No,Medium,2,1,6,Yes,1211,2140,1357,982,365
4,No,Air Miles,Letter,Medium,1,No,Medium,2,1,3,No,283.75,468,188,347,132
5,No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,Yes,1005,894,891,882,1353
6,No,Air Miles,Postcard,Medium,1,No,Medium,3,1,2,Yes,1135.25,762,827,1454,1498
7,No,Points,Letter,Medium,1,No,Low,1,1,2,Yes,1150.5,1756,1402,969,475
8,No,Air Miles,Letter,Low,2,No,High,3,1,3,Yes,1013.25,1819,901,854,479
9,No,Cash Back,Letter,High,1,No,Low,2,1,2,No,1012.25,1715,1486,713,135
10,No,Air Miles,Postcard,Low,2,No,High,2,1,4,Yes,1185.25,272,1523,2042,904
11,No,Points,Postcard,Medium,1,No,Low,1,1,4,No,1059.75,1876,1068,900,395
12,No,Cash Back,Letter,Medium,1,No,High,2,1,5,Yes,1086.75,764,997,921,1665
13,No,Points,Postcard,Low,1,No,High,2,1,4,Yes,1175.25,1234,1102,1423,942
14,No,Air Miles,Postcard,High,1,No,High,3,1,5,No,689.5,714,544,753,747
15,No,Cash Back,Letter,Low,1,No,Low,2,1,4,Yes,1018.25,1709,1087,732,545
16,No,Cash Back,Postcard,Medium,1,Yes,High,3,2,5,Yes,1130.25,1931,1097,921,572
17,No,Air Miles,Postcard,Low,2,No,Low,3,2,1,Yes,877,245,816,1174,1273
18,No,Cash Back,Postcard,Medium,1,Yes,Low,1,1,3,Yes,709,551,866,790,629
19,No,Points,Postcard,High,1,No,Medium,1,1,1,Yes,690,687,554,931,588
20,No,Points,Letter,Medium,1,No,High,2,1,3,No,863.25,1306,1083,632,432
21,No,Cash Back,Postcard,Low,2,No,Low,1,1,5,Yes,733,781,683,558,910
22,No,Points,Postcard,Low,1,No,High,2,2,4,No,771,82,456,1304,1242
23,No,Air Miles,Postcard,Low,3,No,Medium,1,1,4,Yes,659.5,715,626,746,551
24,No,Air Miles,Letter,Medium,1,No,Low,2,1,2,No,1258,1713,1531,1280,508
25,No,Points,Letter,High,1,No,High,2,1,4,Yes,875.25,995,693,946,867
26,No,Air Miles,Postcard,Medium,2,No,Medium,2,2,2,Yes,675.75,605,632,576,890
27,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,No,1095.75,1866,1367,691,459
28,No,Air Miles,Postcard,High,1,No,Low,1,2,8,No,1285,206,1499,1545,1890
29,No,Air Miles,Letter,Low,1,Yes,High,1,1,3,Yes,1119.75,1012,1148,1274,1045
30,No,Air Miles,Letter,High,1,No,Medium,3,1,3,Yes,172,340,26,95,227
31,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,4,No,834.75,185,868,1503,783
32,No,Air Miles,Letter,High,2,No,Medium,3,1,3,Yes,1044.75,737,1252,1232,958
33,No,Points,Postcard,Medium,1,No,Low,2,1,2,No,838.75,997,910,504,944
34,Yes,Air Miles,Postcard,High,1,Yes,Low,2,1,5,Yes,851.25,206,467,1744,988
35,No,Air Miles,Letter,Medium,1,No,Medium,2,1,6,Yes,1040.25,574,911,1498,1178
36,No,Air Miles,Letter,Low,1,Yes,High,2,1,3,No,987,740,439,1240,1529
37,No,Air Miles,Postcard,Medium,1,No,Low,1,2,3,No,822,794,922,757,815
38,No,Points,Letter,Medium,2,Yes,High,1,1,5,Yes,650.5,689,725,513,675
39,Yes,Air Miles,Postcard,Low,1,No,High,2,1,2,Yes,931.75,1536,1232,597,362
40,No,Cash Back,Letter,Medium,1,No,Medium,1,1,3,Yes,988,1983,1127,585,257
41,No,Points,Letter,Medium,1,No,Medium,1,1,4,No,1145.5,198,1671,1573,1140
42,No,Points,Postcard,Medium,3,No,Low,1,1,4,No,1162.5,688,1331,1952,679
43,No,Air Miles,Postcard,Medium,1,No,High,2,2,3,Yes,954.25,1312,1313,942,250
44,No,Points,Postcard,High,1,No,Medium,4,2,5,Yes,1301.25,2024,1796,1134,251
45,No,Cash Back,Letter,Medium,1,No,Medium,2,1,4,Yes,1148.75,850,1559,1762,424
46,No,Cash Back,Postcard,Medium,2,No,High,1,1,4,No,1062.25,430,989,1827,1003
47,No,Cash Back,Letter,Medium,1,No,High,2,1,2,Yes,1147.25,2189,970,1362,68
48,No,Cash Back,Letter,Medium,1,No,Low,1,1,3,Yes,1308.5,1445,1232,1001,1556
49,No,Cash Back,Postcard,Medium,2,No,High,2,1,2,No,363,382,156,443,471
50,No,Cash Back,Postcard,Low,1,No,Low,2,1,2,No,718,725,867,715,565
51,No,Cash Back,Letter,High,1,No,High,1,1,3,Yes,1193.25,1459,703,1043,1568
52,No,Air Miles,Letter,Medium,1,No,Medium,3,1,2,Yes,957.75,440,696,892,1803
53,No,Points,Postcard,Medium,2,No,Low,2,1,4,No,1050,742,1197,1767,494
54,No,Points,Postcard,Medium,2,No,High,2,1,5,Yes,1266.5,660,1157,1151,2098
55,No,Air Miles,Postcard,Medium,1,No,High,4,1,2,Yes,1124.75,220,1100,1939,1240
56,No,Air Miles,Letter,High,3,No,High,2,2,1,No,1059.75,293,1774,1595,577
57,No,Cash Back,Postcard,Medium,1,No,High,1,1,1,No,1014.25,717,1289,1443,608
58,No,Air Miles,Letter,Low,1,No,High,1,1,3,Yes,891.25,1634,1019,615,297
59,Yes,Cash Back,Postcard,High,1,No,Low,2,2,5,Yes,1329.5,1073,1127,1603,1515
60,No,Air Miles,Letter,Medium,1,No,Medium,3,2,4,No,1023.5,1234,1352,1158,350
61,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,5,Yes,908.5,235,434,1310,1655
62,No,Cash Back,Letter,High,1,No,Low,1,1,3,Yes,731.5,570,785,730,841
63,No,Cash Back,Postcard,Medium,2,No,Low,1,1,3,Yes,1735.5,1610,1746,1972,1614
64,No,Cash Back,Letter,High,1,No,Low,2,1,4,Yes,995.25,662,1174,1637,508
65,No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,904,1471,1381,605,159
66,No,Cash Back,Postcard,Medium,1,No,High,1,1,4,Yes,976.25,332,1589,1374,610
67,No,Air Miles,Letter,Medium,2,No,High,2,1,5,Yes,839.75,697,901,882,879
68,No,Points,Postcard,Medium,1,No,Medium,2,1,4,No,1293,538,826,1735,2073
69,No,Cash Back,Postcard,Medium,2,No,High,2,1,5,Yes,819.5,321,1036,1274,647
70,No,Air Miles,Postcard,Medium,2,No,Low,2,2,3,Yes,1094.5,1864,1440,900,174
71,No,Points,Postcard,Low,1,Yes,Low,1,1,2,Yes,1247.25,757,450,1768,2014
72,No,Air Miles,Letter,Medium,1,No,High,3,1,3,Yes,167,195,124,190,159
73,No,Cash Back,Letter,Medium,1,No,High,3,1,2,Yes,1144.75,636,1275,1405,1263
74,No,Air Miles,Letter,Low,1,No,Medium,1,1,3,No,909.75,1535,1384,509,211
75,No,Cash Back,Postcard,Medium,1,Yes,Low,3,1,3,Yes,976.25,187,684,1246,1788
76,No,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,1343.75,876,1745,1538,1216
77,No,Air Miles,Letter,Medium,1,No,Medium,1,1,4,No,1791.25,1790,1994,1616,1765
78,No,Points,Letter,Low,2,Yes,Medium,1,1,3,Yes,1185.75,382,1293,2183,885
79,No,Cash Back,Letter,Low,1,No,High,2,1,3,Yes,1210.75,592,926,1152,2173
80,Yes,Points,Postcard,High,1,Yes,Low,1,1,9,No,161.5,44,99,454,49
81,No,Cash Back,Letter,High,2,No,Low,2,1,5,Yes,963,237,966,1461,1188
82,No,Cash Back,Postcard,Medium,1,No,High,2,3,5,Yes,1025.75,1260,681,1473,689
83,No,Cash Back,Letter,Low,1,No,Low,2,2,3,Yes,1039.5,1934,1078,812,334
84,No,Air Miles,Postcard,Medium,1,No,Low,3,1,3,Yes,979.25,1837,1225,805,50
85,No,Points,Postcard,High,1,No,High,2,1,1,Yes,905.5,1538,1333,545,206
86,No,Cash Back,Letter,High,1,Yes,Medium,2,1,5,Yes,924,1517,1497,676,6
87,No,Cash Back,Postcard,Low,1,No,Low,1,1,2,Yes,1061.75,1860,1191,923,273
88,No,Points,Postcard,Medium,1,Yes,Medium,3,2,1,No,816.5,860,579,974,853
89,Yes,Air Miles,Letter,High,1,Yes,High,2,1,5,Yes,1082.5,1890,1405,996,39
90,No,Cash Back,Postcard,Medium,2,No,Low,1,1,4,Yes,928.25,1770,1124,457,362
91,No,Points,Postcard,Low,2,No,Low,1,2,5,No,1034.5,1564,1443,832,299
92,No,Air Miles,Postcard,Medium,1,No,Low,2,1,5,Yes,738.5,703,735,831,685
93,No,Cash Back,Postcard,High,1,No,High,2,1,4,Yes,1251.5,977,1562,1719,748
94,No,Points,Postcard,Low,1,No,High,1,1,5,Yes,1153.75,520,1500,1711,884
95,No,Cash Back,Postcard,High,1,No,Medium,2,1,4,Yes,864,345,605,1043,1463
96,No,Cash Back,Letter,Medium,1,No,High,3,1,2,No,1155.5,1233,1101,1065,1223
97,No,Cash Back,Postcard,High,1,No,High,1,2,5,No,1090.5,1997,1093,784,488
98,No,Cash Back,Letter,Low,1,No,Medium,2,1,4,No,1090.5,1809,1526,691,336
99,No,Air Miles,Letter,Low,1,No,Low,2,1,3,Yes,773.75,974,675,503,943
100,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,Yes,1052,403,1225,1652,928
101,No,Cash Back,Letter,High,1,No,High,2,1,3,Yes,1159.5,1029,684,1418,1507
102,No,Air Miles,Postcard,High,1,No,High,1,1,3,No,836.5,941,618,886,901
103,No,Cash Back,Letter,Medium,2,No,Medium,2,1,3,Yes,1057.75,439,1014,1843,935
104,No,Cash Back,Postcard,Medium,1,No,Medium,3,1,5,No,714.75,287,750,1192,630
105,Yes,Air Miles,Postcard,High,2,No,Medium,2,2,3,Yes,811.5,820,958,564,904
106,No,Cash Back,Letter,Medium,1,No,High,2,1,3,No,865.75,1803,1027,557,76
107,No,Cash Back,Postcard,Medium,1,No,Low,1,1,3,Yes,887.25,498,408,1343,1300
108,No,Cash Back,Letter,High,1,No,Medium,2,1,5,No,1791.75,1735,1950,1500,1982
109,No,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,877.75,983,834,843,851
110,No,Air Miles,Letter,Medium,1,No,High,2,1,3,No,691.5,63,1144,833,726
111,No,Air Miles,Postcard,Low,2,No,Medium,2,2,4,Yes,814.5,67,906,997,1288
112,No,Cash Back,Letter,High,1,No,High,2,1,4,Yes,1281.5,1009,1111,1783,1223
113,No,Air Miles,Letter,High,1,Yes,Low,2,1,3,Yes,937.5,730,955,848,1217
114,No,Points,Letter,Medium,3,Yes,Medium,2,1,3,Yes,919.75,241,1084,1701,653
115,No,Points,Postcard,Medium,3,Yes,High,1,1,3,Yes,879.75,247,1293,1400,579
116,No,Points,Letter,Medium,1,Yes,Low,4,1,4,No,1181,1446,592,2203,483
117,No,Air Miles,Postcard,Low,1,No,Medium,1,2,3,No,1153.5,311,1460,1584,1259
118,No,Points,Postcard,High,1,No,High,2,1,4,Yes,794.25,696,449,819,1213
119,No,Points,Postcard,Medium,1,Yes,Low,3,1,4,Yes,927.25,128,917,1622,1042
120,No,Points,Letter,Medium,1,No,Medium,3,1,2,No,1809,1968,1762,1534,1972
121,No,Air Miles,Postcard,High,1,Yes,Low,2,1,4,No,1121.5,625,931,1072,1858
122,No,Cash Back,Letter,High,1,No,Medium,2,1,4,Yes,1203,1240,1692,1322,558
123,No,Points,Letter,High,2,No,Low,1,1,1,No,246.25,88,430,190,277
124,No,Air Miles,Letter,Low,2,No,Low,1,1,4,Yes,1454.75,664,1363,1622,2170
125,No,Points,Postcard,High,2,Yes,Low,1,1,3,Yes,928,1688,1345,675,4
126,Yes,Cash Back,Postcard,Medium,3,No,Low,1,1,5,No,1133.25,1856,1396,863,418
127,No,Cash Back,Letter,High,2,No,Medium,1,1,2,Yes,1199,330,970,1488,2008
128,No,Points,Letter,Medium,2,No,Low,1,1,3,Yes,1084.25,206,619,1467,2045
129,No,Cash Back,Postcard,Low,1,No,High,2,1,2,No,1094.5,834,876,2113,555
130,No,Points,Letter,High,1,Yes,High,1,1,3,Yes,1104,2145,1053,755,463
131,No,Cash Back,Postcard,Medium,1,No,High,1,1,5,Yes,1089.75,1701,1484,850,324
132,No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,974.25,100,1187,997,1613
133,No,Air Miles,Postcard,Medium,2,No,High,2,1,3,Yes,991.5,1797,1265,799,105
134,No,Points,Postcard,Low,1,Yes,Medium,2,1,3,Yes,1204.25,327,1457,2194,839
135,No,Points,Postcard,Medium,1,No,High,2,1,2,Yes,1144,887,911,1678,1100
136,No,Air Miles,Letter,Medium,1,No,Medium,3,2,4,Yes,958.5,1556,1469,626,183
137,No,Cash Back,Letter,Low,1,No,High,2,1,5,Yes,1034,1789,831,794,722
138,No,Cash Back,Letter,High,1,No,High,1,1,4,Yes,1246.5,1988,1589,451,958
139,No,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,998.75,1123,553,1221,1098
140,No,Points,Postcard,High,1,No,Medium,2,1,3,Yes,1028,1885,1042,969,216
141,No,Points,Postcard,Medium,2,No,High,2,1,2,No,320,385,368,264,263
142,No,Points,Letter,Low,2,No,High,1,2,3,Yes,91.25,76,64,121,104
143,No,Points,Letter,High,2,Yes,Medium,1,1,3,Yes,166.25,250,191,168,56
144,No,Air Miles,Letter,Medium,2,Yes,Low,3,1,2,No,240,123,288,229,320
145,No,Points,Postcard,Medium,1,No,Medium,2,1,5,No,124.75,90,154,78,177
146,No,Air Miles,Letter,High,1,No,Low,1,1,3,No,1145.75,300,1776,1776,731
147,No,Points,Postcard,Medium,3,No,Low,2,1,6,No,1292.5,1787,1746,1073,564
148,No,Points,Letter,Medium,1,Yes,High,2,2,3,Yes,1186,1006,464,1194,2080
149,No,Air Miles,Postcard,Medium,2,No,High,1,1,5,Yes,1135.25,679,1482,1630,750
150,No,Cash Back,Letter,Low,1,No,Low,3,1,4,Yes,1279.25,319,1533,2062,1203
151,No,Air Miles,Postcard,High,1,No,Low,2,2,3,Yes,1162,156,1399,1837,1256
152,No,Cash Back,Postcard,Medium,1,No,Low,2,1,3,No,954.5,1434,877,714,793
153,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,3,Yes,1073.25,751,930,1186,1426
154,No,Points,Letter,Medium,1,No,Medium,1,1,4,Yes,889,239,992,1523,802
155,No,Points,Letter,Medium,1,No,Low,1,1,3,No,294.25,108,376,467,226
156,No,Air Miles,Postcard,Low,2,No,Low,3,1,3,Yes,1047.5,487,1457,1252,994
157,No,Air Miles,Letter,Low,2,No,Low,1,1,3,Yes,661.25,662,533,907,543
158,No,Cash Back,Letter,Medium,2,No,Medium,3,1,2,Yes,158.75,45,118,450,22
159,No,Cash Back,Postcard,High,1,No,Medium,2,2,3,Yes,1059,394,811,1618,1413
160,No,Air Miles,Letter,Low,1,No,Medium,1,1,2,Yes,1741.75,1621,1884,1923,1539
161,No,Points,Postcard,High,1,No,Low,1,1,4,Yes,1419.5,738,1298,2090,1552
162,No,Cash Back,Postcard,Medium,2,No,Low,1,1,4,No,1250.75,987,787,1420,1809
163,No,Air Miles,Letter,Medium,1,No,High,3,2,2,Yes,1057,1741,1236,981,270
164,No,Points,Postcard,High,1,No,Low,1,2,4,No,1195,1197,1866,1304,413
165,No,Air Miles,Letter,Medium,2,Yes,High,1,1,3,Yes,936.25,1714,1020,769,242
166,No,Air Miles,Postcard,High,1,No,Low,1,1,5,Yes,791.5,818,845,760,743
167,No,Cash Back,Letter,Medium,2,No,High,1,1,4,Yes,1426,1363,1833,1505,1003
168,No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,830,155,842,1450,873
169,No,Air Miles,Letter,Low,1,No,High,2,1,3,No,1162.25,405,1242,1788,1214
170,No,Cash Back,Letter,Medium,2,No,High,2,2,3,Yes,1065.5,906,883,1571,902
171,No,Cash Back,Letter,Medium,1,Yes,Low,1,1,3,Yes,1022.25,646,803,1500,1140
172,No,Air Miles,Postcard,Low,1,No,Medium,3,1,4,Yes,1764,1752,1932,1581,1791
173,No,Points,Letter,Medium,1,No,High,2,1,3,No,1702,1658,1866,1565,1719
174,No,Air Miles,Postcard,Low,1,No,Low,3,2,4,No,1101.5,1275,867,1342,922
